x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,y
370000,0,59,0,370000,0,0,0,99999,99998,99999,99998,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,2,5,6,1,5,4,1,1,4,2,3,155,97,152,4,1,1,0,0,0,1,2,0,1,1,4,4,4,4,4,4,1,1,4,0,1,1,1,1,-2,-1,0,1,0,8,1
510000,0,18,1,510000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,2,2,1,99998,5,5,2,3,4,4,4,4,3,3,175,110,175,2,1,2,0,0,0,3,3,0,0,1,4,4,4,4,4,4,2,1,7,0,0,2,2,1,-999,0,0,1,-1,2,0
370000,0,46,0,320000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,5,1,1,5,3,7,8,8,2,3,158,140,150,3,1,3,1,0,0,2,2,0,0,1,4,3,2,2,3,2,1,1,6,0,0,-999,1,1,-2,-999,0,1,2,1,1
210000,0,54,1,210000,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,1,3,1,1,3,3,4,1,6,1,2,175,130,170,3,2,2,1,0,0,2,2,1,0,1,4,4,4,4,4,4,1,1,9,0,0,1,1,1,1,0,-2,0,0,8,1
110000,1,72,0,330000,0,0,0,99999,99998,99999,99998,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,99998,5,4,3,4,3,2,2,2,2,4,150,140,150,4,3,2,1,0,0,2,2,0,0,1,1,3,3,3,3,3,1,1,6,0,0,-999,-999,-999,-1,0,0,0,2,8,0
440000,0,19,1,440000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,3,2,3,3,3,1,4,4,5,4,6,4,3,175,128,176,1,1,1,0,0,26,2,2,0,0,1,4,4,4,1,4,4,2,0,9,0,0,2,2,1,-999,1,0,1,1,2,1
440000,0,42,0,430000,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,3,3,2,3,6,6,3,3,4,5,5,5,5,3,145,90,142,1,4,2,0,0,0,3,4,0,0,1,4,4,3,3,3,3,1,0,5,0,0,1,2,1,1,-1,0,1,1,8,0
420000,0,56,0,420000,0,0,0,99998,1,99998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,1,5,4,4,5,2,9,4,6,2,3,160,120,150,2,3,1,1,0,120,2,2,0,0,1,4,4,4,4,4,3,1,1,8,0,0,-999,1,1,0,-1,0,1,1,8,1
440000,1,16,1,440000,0,0,0,2,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,3,3,1,3,4,1,2,3,4,5,6,8,6,3,164,85,164,1,2,2,0,0,0,3,3,0,0,1,4,4,3,3,3,3,2,1,8,0,0,1,2,2,-999,-1,0,1,1,2,1
220000,1,52,0,220000,0,0,0,1,99998,1,99998,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,99998,3,1,1,5,2,3,3,4,5,3,162,105,148,3,1,1,1,0,0,3,3,0,0,1,4,4,4,4,4,4,1,1,6,0,0,2,1,1,0,-1,1,1,0,1,1
